smiles,docking,drug_likeliness,names
O=C(Nc1cccc(-c2cn3ccsc3n2)c1)c1cccc(-c2cc3ccccc3oc2=O)c1,-8.2,3.493489699701204,25_0
COc1ccc(-c2nnc(NC(c3ccccc3OC)c3cccc4ccccc34)s2)cc1,-7.8,3.480479225932887,25_1
O=C(c1nnc([C@@H]2CCN(c3ccccc3)C2)o1)c1c[nH]c2ccc(Cl)cc12,-7.9,3.6753036755495585,25_2
O=C(c1ccccc1Cl)N1CCN(c2nc3ccccc3c3ccccc23)CC1,-7.7,3.515563081645422,25_3
COc1ccccc1N1CCN(c2ccc3c(=O)cc(-c4ccccc4)oc3c2)CC1,-7.5,3.6006372175598136,25_4
O=c1oc2ccccc2c2nc3ccccc3cc12,-7.2,3.2597171505789415,25_5
C=CCCCC(CC=COC)=NC(NC(=O)N1[C]NC1=O)c1cccc(-c2ccccc2)c1,-7.2,3.3128637180170974,25_6
COc1ccccc1OCC(CC=O)C(=O)Nc1ccc(Cl)cc1Cl,-5.8,3.7092963285077865,25_7
O=C(Nc1cccc(-c2cccc(-c3cccc4ccccc34)c2)c1)c1ccccc1,-9.1,3.220326797920765,25_8
O=C(Nc1ccon1)c1cccc(-c2cccc(C(=O)Nc3ccccc3C(=O)O)c2)c1,-8.1,3.5667099127407558,25_9
O=C(Nc1cccc(-c2cccc(-c3cccc(C(F)(F)F)c3)c2)c1)n1ncc2ccccc21,-8.8,3.3556365107630386,25_10
CN(c1ccccc1)S(=O)(=O)c1cccc(NC(=O)c2cc3ccccc3o2)c1,-7.1,3.7261080079303346,25_11
O=C(Cc1cccc(-n2ccnc2)c1)Nc1cccc(-c2cccc(-c3ccccc3F)c2)c1,-8.3,3.3559193588396177,25_12
Cn1c(-c2cccc(-c3cccc(-c4cccc(NC(=O)Nc5ccccc5)c4)c3)c2)nc2ccccc21,-9.1,3.223561488915525,25_13
O=C(c1cccc2c1Nc1ccccc1O2)n1ncc2cc(O)ccc21,-8.6,3.617227584392098,25_14
Nc1nc2ccccc2cc1-c1ccc(-c2ccc3sccc3c2)cc1,-7.6,3.4271122928972244,25_15
O=C(c1cccc(-c2ccc3ccccc3c2)c1)c1cccc(N2C(=O)c3ccccc3C2=O)c1Cl,-8.7,3.2676363714595857,25_16
CNC=C(F)c1ccc(F)c(-c2cccc(-c3ccncc3)c2)c1,-7.1,3.6319396315356154,25_17
O=C1/C(=C/c2cccc(Oc3ccccc3)c2)SC(c2ccccc2)N1c1ccccc1Cl,-6.8,3.251903783186334,25_18
O=C1c2ccccc2CCc2cc(Nc3cccc(NC(=O)c4ccccc4Oc4ccccc4)c3)ccc21,-8.4,2.3613746177401715,25_19
O=C1N=c2ccc(F)cc2=C1c1[nH]c2ccccc2c1NOCCN1CCC(Nc2nc3ccccc3c(=O)o2)CC1,-8.4,3.043511905429752,25_20
Cc1cc(C)c2[nH]c(-c3cccc(-c4cccc(NC(=O)c5ccccc5C)c4)c3)nc2c1,-8.6,3.3736879198654526,25_21
COc1ccc2c(c1)nc(-c1ccc(Cl)cc1)n2-c1cccc(-c2nc3ccccc3[nH]2)c1,-8.9,3.4352263761520585,25_22
O=C(c1cccc(F)c1-n1nccn1)N1CC2CC(Oc3ccc(C(F)(F)F)cn3)C1C2,-7.6,3.547368375044055,25_23
O=C(Nc1ccccc1-c1cccc(F)c1)c1cnn2ccc(Br)cc12,-7.1,3.6649496580939567,25_24
CC(=CC=CF)c1cc(-c2ccc(F)cc2F)nc2c1Cc1ccccc1C2C,-8.6,3.311123403399926,25_25
O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2-c1cccc(-c2ccccc2F)c1,-8.5,3.3991531754186166,25_26
O=C(Nc1ccc(-c2cccc(-c3ccc(N4CCCC4)nc3)c2)cc1)Nc1cccc(C(F)(F)F)c1,-7.6,3.4841022792346488,25_27
Cn1cc(-c2cncc(-c3cc4cc(-c5ccc(C#N)cc5)ccc4o3)c2)nn1,-7.8,3.537142086982801,25_28
N#C/C(=C/c1ccc(-c2cccc(-c3nc4cc(F)ccc4[nH]3)c2)cc1)c1nc2ccccc2[nH]1,-7.9,3.381759876312101,25_29
N=Cc1c(C2C=NC2)ccc2cnc(Nc3ccc4c(n3)CCN(Cc3ccccc3F)C4)cc12,-8.0,3.4667640554438424,25_30
O=C(c1cccc(C(F)(F)F)c1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,-7.8,3.5863779316866657,25_31
O=c1c2ccccc2nc(/C=C/c2cccc([N+](=O)[O-])c2)n1Cc1ccccc1,-7.9,3.5551618647379506,25_32
O=C(Nc1cccc(-c2cccc(-c3nc4cc(F)ccc4[nH]3)c2)c1)c1c(F)cccc1F,-8.45,3.440810601409063,25_33
CCCCOc1ccc(-c2nc3cc(C(N)=O)ccc3[nH]2)cc1-c1ccccc1,-6.8,3.555478512148596,25_34
O=C(Nc1ccc(C2=CCN(C(=O)c3ccccc3)CC2)cc1)N1Cc2ccccc2C1,-6.366666666666667,3.5470462554424094,25_35
