ligand_names,smiles,vina_score,vina_path,score,adjusted_score
1_0,Nc1ncc2cc(Nc3nc(CN4CCC5(CC4)CC(O)CO5)cc(-c4ccc(F)cc4F)n3)c(F)cc2n1,-9.2,,-9.2,-9.2
1_1,Nc1nc(-c2cccc(Nc3nc(-c4cc5c(cc4F)OCCO5)nc4ccccc34)c2)c2cn[nH]c2n1,,,0.0,0.0
1_2,C[C@@H]1CN(c2nccc3cc(Nc4nc(Nc5ccc6c(c5)OCCO6)c5cc(F)ccc5n4)c(F)cc23)C[C@@H](C)O1,-10.1,,-10.1,-10.1
1_3,Nc1cc([C@@H]2Oc3cc(F)c(NC(=O)c4ccc5c(c4)OC[C@@H](c4cccc6[nH]ncc46)O5)cc3-c3cc4c(N)nccc4cc32)ccn1,-9.5,,-9.5,-9.5
1_4,Nc1nc(-c2n[nH]c3ccc(Nc4nc(-c5ccc6ccccc6c5)nc5ccccc45)cc23)c2cn[nH]c2n1,-10.5,,-10.5,-10.5
1_5,Nc1nc(N2C[C@@H]3OCCO[C@@H]3C2)c2c(O[C@H]3CCN([C@H]4CC5(Cc6cc7c(cc64)OCO7)OCO5)C3)cccc2n1,-9.4,,-9.4,-9.4
1_6,C[C@@H]1CC[C@@H](F)CN1C(=O)c1ccc2c(c1)Nc1cc3c(cc1F)O[C@H](CC3)c1nc3ccccc3c(=O)n1-2,-8.7,,-8.7,-8.7
1_7,NC(=O)c1cccc(Nc2nc(-c3cc4cc(-c5ccc6c(c5)OCCO6)ccc4[nH]3)c3cn[nH]c3n2)c1,-8.8,,-8.8,-8.8
1_8,CN1C(=O)CCC12CCN(C(=O)C1(NC(=O)c3ccc4ccccc4c3)Cc3c([nH]c4ccccc34)-c3ccccc31)CC2,-9.5,,-9.5,-9.5
1_9,O=C(Nc1nc2ccccc2c(=O)n1-c1ccc2ccccc2c1)c1ccc2c(c1)CCN2C(=O)N1CCC2(CC1)COCO2,-9.0,,-9.0,-9.0
1_10,Nc1ncnc2c(F)ccc(C(=O)N3CCC(c4cc(Nc5ccc6c(c5)OCCO6)nc5ccccc45)CC3)c12,-9.3,,-9.3,-9.3
1_11,Fc1cc2nc(N3CCOCC3)nc(Nc3nc(-c4cc5c(cc4F)OCCO5)cc4ccccc34)c2cc1F,-10.2,,-10.2,-10.2
1_12,O=c1c2ccccc2nc(CN2CCN(Cc3cc(-c4ccc5[nH]ccc5c4)cc4ccccc34)CC2)n1-c1ccc2c(c1)OCCO2,-9.5,,-9.5,-9.5
1_13,CN1c2ccccc2N(c2cc3c(cc2F)OCCO3)C(=O)C12CC(=O)N(C1CCN(C(=O)Nc3ccc4ccccc4c3)CC1)C2,-9.0,,-9.0,-9.0
1_14,Nc1nc(N)c2cc(-c3cc(-c4cc5c(cc4F)OCCO5)nc4cnc(-c5cccc(F)c5)cc34)ccc2n1,-10.4,,-10.4,-10.4
1_15,N[C@@H]1C[C@H](F)CN(c2ncnc3ccc(-c4cc(-c5ccc6[nH]ccc6c5)cc5cn[nH]c45)cc23)C1,-10.5,,-10.5,-10.5
1_16,CN1C(=O)CC(c2c[nH]c3ccc(F)cc23)N1c1cc(C(=O)N2CCc3ccccc3C2)cc2cnc(N)cc12,-9.1,,-9.1,-9.1
1_17,Nc1nc(N)c2cc(Nc3nc(Nc4cc5c(cc4F)OCCO5)nc4ccccc34)c(F)cc2n1,-10.1,,-10.1,-10.1
1_18,Cc1ccc2c(N3CCN(c4ncc5cc(C(=O)N6CCC7(CCC(C)O7)CC6)ccc5n4)CC3)c3cc(C)ccc3nc2c1,-8.0,,-8.0,-8.0
1_19,Nc1nc(N2CCOCC2)nc2cc(F)c(Nc3nc(-c4cc5c(cc4F)OCO5)nc4ccccc34)cc12,-10.0,,-10.0,-10.0
1_20,O=C1NC(=O)C(Cc2ccc3ccccc3c2)(c2ccc3[nH]c(-c4cc(F)cc(C(=O)N5CCC6(CCCO6)C5)c4)nc3c2)N1,-9.9,,-9.9,-9.9
1_21,Nc1cc(-c2ccc3c(C4CC(=O)N(C(=O)C5(c6cccc(C(F)(F)F)c6)CCNC5)C4)n[nH]c3c2)c2cn[nH]c2n1,-9.0,,-9.0,-9.0
1_22,O=C1N(C2CC2)C[C@@H]2C[C@@H](Oc3nc4ccc(F)cc4cc3-c3nc4ccccc4[nH]3)CN12,-8.4,,-8.4,-8.4
1_23,O=C1OC[C@@H]2CN(c3nc(Nc4cc5c(cc4F)OCCO5)c4ccccc4n3)C(=O)[C@H]12,-9.6,,-9.6,-9.6
1_24,O=C1NC2(Cc3ccccc3C2)C(=O)N1CC(=O)N1C(c2ccc3c(c2)OCCO3)Nc2ccccc2C1c1ccc2c(c1)OCO2,-8.8,,-8.8,-8.8
1_25,O=C(Nc1ccc2c(c1)OCCO2)c1ccc2[nH]c3ccc(C4=CCN(C(=O)Nc5ccc6c(c5)OCCO6)CC4)cc3c2c1,-9.3,,-9.3,-9.3
1_26,Fc1cc2[nH]ncc2cc1O[C@@H]1CCN(c2nc(-c3cc4c(cc3F)OCCO4)nc3ccc(C(F)(F)F)cc23)C1,-9.1,,-9.1,-9.1
1_27,NC(=O)[C@@]1(NC(=O)O[C@H]2C[C@@H]3C[C@H](N)C[C@H]2C3)CC[C@]2(OC1)C(=O)N(C(=O)c1ccc3c(c1)OCCO3)c1cc3ccccc3cc12,-8.7,,-8.7,-8.7
